Date,station,Pluvio_du_jour,Cumul_du_mois,Cumul_moy_du_mois,Cumul_periode,Cumul_moy_periode,Cumul_mois_precedent,Cumul_periode_precedente
2025-02-26,ماطر,12.0,76.0,71.41661541003447,413.5,387.51955126122544,61.5,320.5
2025-02-26, جومين,8.0,64.0,109.33941343680124,484.0,526.1320580239503,61.0,404.5
2025-02-26,سجنان,10.5,92.5,105.23138456546344,604.8,625.59293868903,65.0,490.5
2025-02-26,القيروان ,4.0,47.2,23.00466666315993,208.2,194.90400039687762,12.3,130.3
2025-02-26,حفوز,3.5,21.5,21.707316997029434,115.0,193.30030511723973,0.0,78.0
2025-02-26,سد نبهانة,8.0,88.5,26.429268413927502,266.0,185.08292668276445,14.5,85.5
2025-02-26,الوسلاتية,3.0,49.0,34.820138897953754,170.0,242.06316519194743,7.5,93.0
2025-02-26,السبيخة,6.0,52.0,26.253999955356118,240.5,212.2959999911488,8.0,105.0
2025-02-26,سيدي عمر بوحجلة,0.0,40.0,21.698615379608594,175.0,172.9455103413791,10.0,140.5
2025-02-26,سد سيدي سعد,0.0,22.5,18.428000015020366,156.9,149.38400011673585,6.5,70.5
2025-02-26,القصرين,0.0,21.5,18.87753845536938,158.9,150.4560000199079,2.6,98.1
2025-02-26,فريانة ,0.0,22.0,17.345833322964605,115.5,154.84166664180026,0.0,33.5
2025-02-26,فوسانة,0.0,39.5,14.058695712977128,189.5,122.28735976698555,13.0,45.5
2025-02-26,خنقة الزازية,0.0,36.2,16.885999983331335,116.5,132.35799991786473,0.0,39.2
2025-02-26,سبيبة ,0.0,30.5,22.44637687396312,104.3,175.13681153942994,2.0,75.0
2025-02-26,سبيطلة,0.0,32.0,17.83276931826885,130.2,139.3380002945661,0.0,75.0
2025-02-26,تالة ,0.0,55.0,34.47184617174359,193.0,232.68600013241178,12.0,142.0
2025-02-26,سيدي بوزيد,0.0,61.0,21.41458336325983,286.29999999999995,176.3214123893793,1.0,72.0
2025-02-26,سيدي علي بن عون,0.0,20.0,15.415425559941756,223.5,140.06254823013995,0.5,85.5
2025-02-26,بير الحفي,3.0,32.0,13.960307686764457,230.8,144.7080816350665,0.5,56.5
